Date,City,ExpenseType,Amount,
11/21/2013,Delhi,India,Bills,757649
5/11/2014,Delhi,India,Bills,919877
5/23/2014,Greater Mumbai,India,Bills,605615
5/22/2015,Bengaluru,India,Bills,500852
2/15/2015,Greater Mumbai,India,Bills,488136
6/16/2014,Delhi,India,Bills,937828
1/27/2014,Delhi,India,Bills,315873
5/20/2015,Greater Mumbai,India,Bills,567623
10/29/2013,Greater Mumbai,India,Bills,555123
4/20/2014,Bengaluru,India,Bills,498843
5/23/2014,Greater Mumbai,India,Bills,752610
3/11/2015,Greater Mumbai,India,Bills,494540
10/27/2013,Delhi,India,Bills,996754
7/14/2014,Ahmedabad,India,Bills,245572
4/18/2014,Delhi,India,Bills,974384
3/25/2014,Ahmedabad,India,Bills,846635
3/23/2015,Delhi,India,Bills,224510
1/24/2015,Delhi,India,Bills,478671
3/14/2014,Delhi,India,Bills,228565
8/21/2014,Ahmedabad,India,Bills,428316
4/20/2014,Bengaluru,India,Bills,845653
11/20/2013,Ahmedabad,India,Bills,236296
9/25/2014,Bengaluru,India,Bills,440572
10/26/2013,Bengaluru,India,Bills,897621
9/30/2014,Delhi,India,Bills,245452
1/17/2014,Delhi,India,Bills,365045
1/11/2015,Greater Mumbai,India,Bills,496047
2/11/2015,Bengaluru,India,Bills,466814
11/10/2014,Bengaluru,India,Bills,835177
1/12/2015,Delhi,India,Bills,219698
10/18/2014,Bengaluru,India,Bills,784541
10/25/2013,Delhi,India,Bills,576994
5/15/2015,Bengaluru,India,Bills,464663
1/19/2014,Ahmedabad,India,Bills,637600
3/25/2014,Delhi,India,Bills,847958
2/18/2014,Greater Mumbai,India,Bills,877569
10/14/2013,Ahmedabad,India,Bills,450413
12/31/2014,Bengaluru,India,Bills,866572
3/26/2014,Greater Mumbai,India,Bills,570791
4/28/2014,Ahmedabad,India,Bills,705464
3/27/2014,Greater Mumbai,India,Bills,515472
9/23/2014,Ahmedabad,India,Bills,352207
2/27/2014,Bengaluru,India,Bills,249099
8/27/2014,Ahmedabad,India,Bills,995634
12/12/2014,Bengaluru,India,Bills,435097
6/16/2014,Ahmedabad,India,Bills,797815
12/11/2014,Bengaluru,India,Bills,396241
12/14/2014,Delhi,India,Bills,486949
1/17/2014,Greater Mumbai,India,Bills,333483
3/18/2015,Bengaluru,India,Bills,327244
2/25/2015,Greater Mumbai,India,Bills,927864
3/28/2014,Delhi,India,Bills,555220
12/28/2014,Delhi,India,Bills,952640
5/31/2014,Ahmedabad,India,Bills,695749
8/22/2014,Greater Mumbai,India,Bills,365724
1/17/2015,Ahmedabad,India,Bills,650785
10/23/2014,Delhi,India,Bills,611486
10/12/2014,Ahmedabad,India,Bills,413052
1/22/2014,Ahmedabad,India,Bills,584822
3/25/2015,Ahmedabad,India,Bills,980146
10/10/2014,Ahmedabad,India,Bills,926072
4/16/2014,Delhi,India,Bills,482394
2/21/2014,Bengaluru,India,Bills,718346
4/24/2014,Bengaluru,India,Bills,491598
12/28/2014,Bengaluru,India,Bills,396139
10/13/2014,Ahmedabad,India,Bills,856974
2/16/2015,Delhi,India,Bills,924776
4/17/2014,Greater Mumbai,India,Bills,887442
1/22/2014,Delhi,India,Bills,297820
3/14/2015,Delhi,India,Bills,687879
10/13/2013,Greater Mumbai,India,Bills,738456
8/24/2014,Delhi,India,Bills,378535
11/26/2014,Ahmedabad,India,Bills,580796
10/21/2014,Greater Mumbai,India,Bills,855465
6/15/2014,Greater Mumbai,India,Bills,978989
4/25/2015,Ahmedabad,India,Bills,451874
5/19/2015,Bengaluru,India,Bills,977951
2/23/2014,Delhi,India,Bills,403466
10/28/2013,Delhi,India,Bills,861177
12/17/2014,Ahmedabad,India,Bills,528612
11/18/2013,Delhi,India,Bills,963751
11/30/2014,Ahmedabad,India,Bills,761930
8/21/2014,Ahmedabad,India,Bills,852806
5/25/2014,Delhi,India,Bills,207755
4/19/2015,Greater Mumbai,India,Bills,489540
3/25/2014,Ahmedabad,India,Bills,274395
2/11/2014,Bengaluru,India,Bills,566945
3/25/2014,Bengaluru,India,Bills,894888
12/25/2014,Greater Mumbai,India,Bills,677645
10/16/2014,Greater Mumbai,India,Bills,326162
4/19/2015,Delhi,India,Bills,316946
1/20/2014,Delhi,India,Bills,622373
5/10/2014,Bengaluru,India,Bills,640653
10/31/2013,Delhi,India,Bills,868021
11/28/2014,Delhi,India,Bills,284923
7/21/2014,Bengaluru,India,Bills,814422
4/22/2015,Bengaluru,India,Bills,599741
6/10/2014,Ahmedabad,India,Bills,804560
4/17/2015,Ahmedabad,India,Bills,996291
3/10/2015,Greater Mumbai,India,Bills,275427
12/22/2013,Delhi,India,Bills,722048
2/14/2015,Delhi,India,Bills,292365
1/30/2015,Ahmedabad,India,Bills,400393
2/15/2015,Delhi,India,Bills,981404
11/24/2014,Bengaluru,India,Bills,639670
10/17/2013,Ahmedabad,India,Bills,569582
5/25/2014,Ahmedabad,India,Bills,954111
5/16/2014,Ahmedabad,India,Bills,635267
10/11/2013,Delhi,India,Bills,393651
1/26/2015,Greater Mumbai,India,Bills,734396
9/10/2014,Ahmedabad,India,Bills,203194
1/22/2015,Greater Mumbai,India,Bills,250410
5/16/2014,Greater Mumbai,India,Bills,790800
2/22/2014,Greater Mumbai,India,Bills,638570
8/13/2014,Greater Mumbai,India,Bills,380409
11/29/2014,Bengaluru,India,Bills,537050
11/25/2013,Greater Mumbai,India,Bills,834691
4/13/2015,Ahmedabad,India,Bills,240216
4/15/2014,Greater Mumbai,India,Bills,424370
2/13/2015,Delhi,India,Bills,593991
12/27/2014,Bengaluru,India,Bills,553907
1/28/2015,Delhi,India,Bills,586474
10/30/2013,Delhi,India,Bills,446266
9/30/2014,Greater Mumbai,India,Bills,511168
12/28/2013,Bengaluru,India,Bills,608438
10/18/2014,Delhi,India,Bills,973519
11/28/2014,Delhi,India,Bills,688577
5/12/2014,Bengaluru,India,Bills,686619
4/19/2015,Delhi,India,Bills,212319
4/18/2015,Greater Mumbai,India,Bills,307563
4/15/2015,Delhi,India,Bills,407564
10/12/2014,Bengaluru,India,Bills,331349
4/14/2015,Delhi,India,Bills,391325
4/16/2014,Greater Mumbai,India,Bills,668736
3/17/2014,Ahmedabad,India,Bills,474729
1/16/2015,Bengaluru,India,Bills,590841
12/30/2013,Delhi,India,Bills,375139
5/19/2014,Bengaluru,India,Bills,229589
10/10/2013,Delhi,India,Bills,360009
5/23/2015,Greater Mumbai,India,Bills,489043
11/11/2014,Bengaluru,India,Bills,503037
1/11/2014,Greater Mumbai,India,Bills,731261
2/14/2014,Ahmedabad,India,Bills,262755
7/16/2014,Greater Mumbai,India,Bills,825475
2/24/2014,Greater Mumbai,India,Bills,922630
9/25/2014,Delhi,India,Bills,752172
6/11/2014,Ahmedabad,India,Bills,418009
5/21/2014,Greater Mumbai,India,Bills,389097
5/17/2015,Bengaluru,India,Bills,792440
3/17/2015,Bengaluru,India,Bills,602222
3/17/2014,Ahmedabad,India,Bills,272804
10/17/2014,Delhi,India,Bills,876491
2/25/2014,Bengaluru,India,Bills,820217
8/28/2014,Ahmedabad,India,Bills,338527
6/16/2014,Ahmedabad,India,Bills,934683
1/28/2015,Greater Mumbai,India,Bills,654519
6/12/2014,Ahmedabad,India,Bills,958047
12/31/2013,Ahmedabad,India,Bills,653161
4/14/2014,Ahmedabad,India,Bills,307350
8/27/2014,Greater Mumbai,India,Bills,41002
9/26/2014,Bengaluru,India,Bills,195589
3/10/2014,Bengaluru,India,Bills,204735
5/14/2014,Ahmedabad,India,Bills,118112
12/12/2013,Greater Mumbai,India,Bills,61572
2/25/2015,Delhi,India,Bills,274938
2/21/2014,Greater Mumbai,India,Bills,43854
4/27/2014,Delhi,India,Bills,8798
4/10/2014,Bengaluru,India,Bills,128164
4/28/2014,Delhi,India,Bills,249061
1/29/2014,Greater Mumbai,India,Bills,275283
5/13/2015,Ahmedabad,India,Bills,13162
2/19/2015,Delhi,India,Bills,286251
10/19/2014,Ahmedabad,India,Bills,123417
10/26/2014,Ahmedabad,India,Bills,64113
3/27/2014,Bengaluru,India,Bills,54374
3/18/2015,Ahmedabad,India,Bills,175515
11/25/2013,Delhi,India,Bills,78773
6/25/2014,Bengaluru,India,Bills,143515
11/22/2014,Delhi,India,Bills,263613
4/22/2015,Greater Mumbai,India,Bills,265434
6/16/2014,Delhi,India,Bills,60905
1/20/2015,Delhi,India,Bills,267896
12/31/2013,Ahmedabad,India,Bills,198937
7/24/2014,Greater Mumbai,India,Bills,86676
4/27/2015,Greater Mumbai,India,Bills,2138
6/11/2014,Bengaluru,India,Bills,253749
7/11/2014,Greater Mumbai,India,Bills,242144
3/17/2014,Delhi,India,Bills,114049
3/17/2014,Bengaluru,India,Bills,100992
12/28/2013,Delhi,India,Bills,25016
11/11/2013,Delhi,India,Bills,157982
5/17/2014,Bengaluru,India,Bills,240387
8/31/2014,Delhi,India,Bills,134030
1/26/2015,Bengaluru,India,Bills,108651
1/17/2014,Delhi,India,Bills,138617
1/27/2014,Bengaluru,India,Bills,98963
12/24/2013,Delhi,India,Bills,25486
10/22/2013,Ahmedabad,India,Bills,20032
1/14/2015,Greater Mumbai,India,Bills,293938
1/11/2014,Delhi,India,Bills,88175
8/14/2014,Greater Mumbai,India,Bills,172386
11/26/2014,Delhi,India,Bills,87219
11/16/2014,Delhi,India,Bills,183445
6/27/2014,Bengaluru,India,Bills,147977
11/19/2014,Ahmedabad,India,Bills,243279
4/14/2015,Delhi,India,Bills,32548
11/30/2013,Greater Mumbai,India,Bills,13325
2/16/2014,Greater Mumbai,India,Bills,295055
1/12/2015,Greater Mumbai,India,Bills,64764
9/27/2014,Greater Mumbai,India,Bills,269809
6/29/2014,Delhi,India,Bills,81145
7/13/2014,Ahmedabad,India,Bills,25948
1/23/2015,Greater Mumbai,India,Bills,120188
4/15/2014,Delhi,India,Bills,285830
4/27/2015,Bengaluru,India,Bills,67039
7/25/2014,Ahmedabad,India,Bills,14370
10/10/2014,Ahmedabad,India,Bills,54304
10/18/2013,Greater Mumbai,India,Bills,188856
1/18/2014,Ahmedabad,India,Bills,44635
11/22/2013,Greater Mumbai,India,Bills,227273
3/26/2014,Delhi,India,Bills,234200
12/12/2014,Delhi,India,Bills,79053
10/29/2014,Greater Mumbai,India,Bills,203463
7/29/2014,Bengaluru,India,Bills,196985
4/18/2015,Greater Mumbai,India,Bills,246457
8/27/2014,Bengaluru,India,Bills,167457
1/27/2014,Delhi,India,Bills,102486
1/18/2014,Greater Mumbai,India,Bills,159428
1/28/2014,Bengaluru,India,Bills,296987
2/26/2015,Delhi,India,Bills,77247
1/24/2014,Bengaluru,India,Bills,66542
11/27/2014,Greater Mumbai,India,Bills,194526
7/16/2014,Bengaluru,India,Bills,178119
5/16/2014,Bengaluru,India,Bills,258653
5/23/2014,Delhi,India,Bills,223185
1/28/2015,Greater Mumbai,India,Bills,224750
1/17/2014,Ahmedabad,India,Bills,103363
11/27/2014,Greater Mumbai,India,Bills,49090
11/20/2014,Bengaluru,India,Bills,140584
6/26/2014,Delhi,India,Bills,61272
5/25/2014,Bengaluru,India,Bills,91325
4/14/2014,Greater Mumbai,India,Bills,81641
4/14/2015,Greater Mumbai,India,Bills,267700
11/20/2014,Greater Mumbai,India,Food,193429
4/22/2014,Ahmedabad,India,Food,97674
3/19/2015,Bengaluru,India,Food,194846
2/22/2015,Greater Mumbai,India,Food,62690
10/20/2013,Ahmedabad,India,Food,13879
9/10/2014,Bengaluru,India,Food,253183
5/10/2014,Bengaluru,India,Food,183197
8/27/2014,Bengaluru,India,Food,260046
7/21/2014,Bengaluru,India,Food,95981
2/20/2014,Delhi,India,Food,140041
4/16/2015,Bengaluru,India,Food,43954
11/30/2013,Bengaluru,India,Food,35543
10/22/2013,Greater Mumbai,India,Food,95741
4/26/2014,Bengaluru,India,Food,57961
6/17/2014,Greater Mumbai,India,Food,246215
10/15/2014,Greater Mumbai,India,Food,149465
8/22/2014,Ahmedabad,India,Food,259694
2/23/2014,Delhi,India,Food,70009
4/18/2015,Ahmedabad,India,Food,156519
4/22/2014,Bengaluru,India,Food,286786
9/18/2014,Bengaluru,India,Food,173244
12/31/2014,Bengaluru,India,Food,195804
1/26/2015,Bengaluru,India,Food,20036
7/17/2014,Bengaluru,India,Food,266125
3/10/2014,Greater Mumbai,India,Food,156531
10/20/2014,Ahmedabad,India,Food,288673
10/13/2014,Ahmedabad,India,Food,67474
9/28/2014,Delhi,India,Food,220674
4/24/2014,Greater Mumbai,India,Food,282988
8/24/2014,Bengaluru,India,Food,206308
11/27/2014,Bengaluru,India,Food,243074
3/23/2015,Delhi,India,Food,277079
1/28/2015,Delhi,India,Food,218638
11/14/2014,Ahmedabad,India,Food,152216
4/14/2015,Delhi,India,Food,42620
1/12/2014,Ahmedabad,India,Food,101639
3/10/2015,Bengaluru,India,Food,127650
6/24/2014,Greater Mumbai,India,Food,277737
3/19/2015,Bengaluru,India,Food,251805
2/19/2014,Ahmedabad,India,Food,288284
10/22/2013,Bengaluru,India,Food,125290
8/20/2014,Bengaluru,India,Food,166602
4/14/2014,Ahmedabad,India,Food,219097
3/26/2015,Bengaluru,India,Food,34082
10/28/2013,Bengaluru,India,Food,245056
12/20/2013,Ahmedabad,India,Food,131847
1/16/2015,Delhi,India,Food,276873
10/18/2013,Bengaluru,India,Food,2397
7/16/2014,Bengaluru,India,Food,31051
3/12/2014,Delhi,India,Food,81753
11/28/2014,Ahmedabad,India,Food,266386
3/10/2015,Greater Mumbai,India,Food,250995
2/13/2014,Greater Mumbai,India,Food,48012
12/25/2014,Greater Mumbai,India,Food,246893
3/19/2015,Ahmedabad,India,Food,95807
8/22/2014,Ahmedabad,India,Food,165278
8/15/2014,Ahmedabad,India,Food,191618
4/26/2015,Greater Mumbai,India,Food,159718
11/28/2014,Ahmedabad,India,Food,213552
2/24/2014,Delhi,India,Food,279377
12/19/2014,Delhi,India,Food,233694
6/21/2014,Bengaluru,India,Food,102362
9/10/2014,Bengaluru,India,Food,108296
4/13/2015,Bengaluru,India,Food,258275
10/21/2014,Bengaluru,India,Food,194260
4/12/2015,Bengaluru,India,Food,167903
1/29/2015,Ahmedabad,India,Food,128266
1/19/2015,Bengaluru,India,Food,268543
3/17/2014,Ahmedabad,India,Food,30653
4/28/2015,Delhi,India,Food,230325
3/13/2015,Greater Mumbai,India,Food,176871
11/13/2013,Delhi,India,Food,162813
11/16/2014,Bengaluru,India,Food,231827
10/15/2013,Bengaluru,India,Food,291358
7/27/2014,Delhi,India,Food,288888
11/22/2014,Delhi,India,Food,283575
7/24/2014,Greater Mumbai,India,Food,132827
8/31/2014,Delhi,India,Food,200721
1/12/2014,Ahmedabad,India,Food,190220
12/10/2013,Greater Mumbai,India,Food,298838
1/12/2014,Greater Mumbai,India,Food,203106
10/19/2014,Ahmedabad,India,Food,196647
2/24/2014,Greater Mumbai,India,Food,236980
3/23/2014,Greater Mumbai,India,Food,59121
8/13/2014,Greater Mumbai,India,Food,109857
10/30/2013,Bengaluru,India,Food,57768
8/26/2014,Ahmedabad,India,Food,8056
4/29/2014,Ahmedabad,India,Food,192382
10/25/2014,Greater Mumbai,India,Food,19158
12/15/2014,Greater Mumbai,India,Food,9552
3/15/2015,Delhi,India,Food,276862
9/20/2014,Greater Mumbai,India,Food,151436
11/26/2014,Ahmedabad,India,Food,271595
12/27/2014,Bengaluru,India,Food,8115
7/27/2014,Greater Mumbai,India,Food,73172
2/16/2014,Ahmedabad,India,Food,162829
10/17/2013,Bengaluru,India,Food,252669
11/11/2013,Bengaluru,India,Food,108079
3/11/2015,Ahmedabad,India,Food,240804
11/22/2014,Bengaluru,India,Food,127020
1/17/2015,Delhi,India,Food,88003
12/23/2014,Delhi,India,Food,153154
10/16/2014,Bengaluru,India,Food,114863
7/18/2014,Bengaluru,India,Food,126912
4/12/2015,Ahmedabad,India,Food,232388
5/19/2014,Bengaluru,India,Food,171746
8/11/2014,Greater Mumbai,India,Food,168495
9/20/2014,Ahmedabad,India,Food,252614
4/28/2015,Greater Mumbai,India,Food,233161
11/17/2013,Greater Mumbai,India,Food,85459
3/11/2014,Ahmedabad,India,Food,156075
7/16/2014,Greater Mumbai,India,Food,161329
1/14/2014,Greater Mumbai,India,Food,183105
12/28/2013,Ahmedabad,India,Food,21571
10/16/2013,Greater Mumbai,India,Food,152307
3/11/2015,Greater Mumbai,India,Food,193060
12/20/2013,Greater Mumbai,India,Food,269712
12/30/2013,Bengaluru,India,Food,167306
11/19/2014,Greater Mumbai,India,Food,102247
10/15/2014,Bengaluru,India,Food,169677
4/27/2014,Delhi,India,Food,285567
10/13/2013,Ahmedabad,India,Food,155529
11/17/2014,Delhi,India,Food,214039
6/15/2014,Greater Mumbai,India,Food,200754
2/22/2014,Delhi,India,Food,24981
6/10/2014,Delhi,India,Food,223418
1/30/2015,Delhi,India,Food,189297
3/15/2014,Greater Mumbai,India,Food,125003
2/20/2015,Ahmedabad,India,Food,226929
2/13/2015,Greater Mumbai,India,Food,176275
7/13/2014,Ahmedabad,India,Food,213508
7/25/2014,Bengaluru,India,Food,275085
11/10/2014,Ahmedabad,India,Food,40010
11/22/2014,Ahmedabad,India,Food,66775
11/25/2014,Ahmedabad,India,Food,292554
11/29/2014,Delhi,India,Food,154806
1/29/2015,Bengaluru,India,Food,129650
1/16/2015,Ahmedabad,India,Food,249446
8/31/2014,Ahmedabad,India,Food,16468
1/17/2014,Greater Mumbai,India,Food,185621
9/17/2014,Delhi,India,Food,279320
12/29/2013,Greater Mumbai,India,Food,271787
10/29/2013,Ahmedabad,India,Food,64241
3/31/2014,Bengaluru,India,Food,297737
6/29/2014,Bengaluru,India,Food,192039
4/12/2015,Delhi,India,Food,39866
8/22/2014,Bengaluru,India,Food,112782
10/17/2013,Delhi,India,Food,113433
5/16/2015,Greater Mumbai,India,Food,95081
11/13/2013,Bengaluru,India,Food,148769
12/30/2013,Ahmedabad,India,Food,161873
2/23/2015,Bengaluru,India,Food,225071
3/30/2015,Greater Mumbai,India,Food,161682
10/14/2013,Greater Mumbai,India,Food,48570
10/17/2014,Bengaluru,India,Food,52970
2/20/2015,Bengaluru,India,Food,13160
4/27/2015,Bengaluru,India,Food,158649
10/22/2013,Delhi,India,Food,120780
1/24/2015,Greater Mumbai,India,Food,281805
12/31/2014,Bengaluru,India,Food,167243
9/30/2014,Delhi,India,Food,34451
9/20/2014,Ahmedabad,India,Food,30120
11/19/2013,Delhi,India,Food,189018
4/19/2015,Bengaluru,India,Food,71741
12/30/2013,Ahmedabad,India,Food,231370
3/25/2014,Delhi,India,Food,35506
10/19/2014,Bengaluru,India,Food,230876
5/24/2015,Delhi,India,Food,162487
4/15/2014,Bengaluru,India,Food,245076
8/13/2014,Greater Mumbai,India,Food,217488
3/26/2014,Delhi,India,Food,264509
5/22/2015,Delhi,India,Food,127526
12/26/2013,Greater Mumbai,India,Food,158856
3/14/2014,Delhi,India,Food,61388
1/30/2014,Delhi,India,Food,149081
1/10/2015,Ahmedabad,India,Food,254211
8/20/2014,Delhi,India,Food,64034
3/15/2014,Greater Mumbai,India,Food,175112
1/13/2014,Greater Mumbai,India,Food,9001
3/28/2014,Bengaluru,India,Food,15615
1/16/2014,Greater Mumbai,India,Food,56905
11/16/2014,Greater Mumbai,India,Food,81289
8/23/2014,Ahmedabad,India,Food,268849
8/23/2014,Delhi,India,Food,154645
3/12/2014,Bengaluru,India,Food,9999
2/19/2015,Delhi,India,Food,106503
12/28/2013,Bengaluru,India,Food,14531
5/10/2015,Delhi,India,Food,241709
1/13/2015,Ahmedabad,India,Food,151734
7/23/2014,Delhi,India,Food,49249
5/13/2015,Ahmedabad,India,Food,7448
3/19/2014,Bengaluru,India,Food,38146
9/16/2014,Greater Mumbai,India,Food,130542
2/23/2014,Ahmedabad,India,Food,173596
4/29/2015,Bengaluru,India,Food,283399
1/10/2015,Bengaluru,India,Bills,291839
12/11/2013,Ahmedabad,India,Entertainment,236449
10/15/2013,Greater Mumbai,India,Food,152705
2/26/2014,Ahmedabad,India,Grocery,36575
4/12/2015,Delhi,India,Entertainment,179481
2/22/2015,Greater Mumbai,India,Food,205735
12/27/2014,Greater Mumbai,India,Fuel,249400
5/25/2014,Delhi,India,Grocery,213000
10/28/2013,Ahmedabad,India,Food,174245
3/17/2014,Delhi,India,Food,156171
11/29/2013,Greater Mumbai,India,Food,67213
12/27/2013,Greater Mumbai,India,Entertainment,299122
10/22/2014,Bengaluru,India,Entertainment,132237
4/26/2015,Ahmedabad,India,Entertainment,64149
5/24/2015,Bengaluru,India,Bills,106831
10/15/2014,Bengaluru,India,Grocery,53822
10/10/2013,Ahmedabad,India,Food,74794
12/12/2013,Ahmedabad,India,Food,29985
12/18/2014,Greater Mumbai,India,Fuel,239856
4/14/2014,Greater Mumbai,India,Fuel,10476
11/30/2014,Greater Mumbai,India,Bills,210425
6/15/2014,Delhi,India,Fuel,31365
12/13/2013,Greater Mumbai,India,Bills,79856
10/24/2014,Ahmedabad,India,Food,129599
3/11/2015,Ahmedabad,India,Grocery,285777
9/17/2014,Ahmedabad,India,Fuel,36849
10/16/2014,Greater Mumbai,India,Fuel,273374
7/21/2014,Bengaluru,India,Food,49592
10/16/2014,Ahmedabad,India,Entertainment,287849
4/10/2014,Ahmedabad,India,Grocery,290413
3/11/2015,Ahmedabad,India,Grocery,253375
4/22/2015,Bengaluru,India,Food,236861
11/29/2014,Delhi,India,Bills,299032
5/18/2015,Delhi,India,Bills,139246
7/19/2014,Delhi,India,Grocery,274970
4/25/2014,Bengaluru,India,Entertainment,37144
7/17/2014,Delhi,India,Grocery,46381
7/13/2014,Bengaluru,India,Bills,251886
11/21/2013,Ahmedabad,India,Fuel,159903
12/13/2013,Greater Mumbai,India,Food,52484
5/10/2014,Delhi,India,Food,5397
1/29/2014,Bengaluru,India,Food,56078
11/21/2013,Greater Mumbai,India,Bills,205643
6/25/2014,Delhi,India,Fuel,47074
7/15/2014,Bengaluru,India,Grocery,34594
12/25/2013,Greater Mumbai,India,Bills,31000
5/17/2014,Delhi,India,Bills,138376
11/29/2014,Bengaluru,India,Fuel,254875
11/19/2013,Delhi,India,Fuel,32871
3/12/2015,Bengaluru,India,Entertainment,95715
2/12/2015,Greater Mumbai,India,Food,260724
11/21/2014,Bengaluru,India,Bills,271600
3/26/2014,Ahmedabad,India,Food,20006
12/24/2014,Bengaluru,India,Food,168546
6/12/2014,Greater Mumbai,India,Bills,30080
1/14/2014,Ahmedabad,India,Fuel,174697
12/18/2013,Bengaluru,India,Food,180193
5/23/2015,Bengaluru,India,Food,233112
2/22/2015,Ahmedabad,India,Grocery,226198
4/11/2014,Ahmedabad,India,Bills,73112
6/23/2014,Bengaluru,India,Entertainment,35232
6/30/2014,Delhi,India,Entertainment,55074
12/31/2014,Bengaluru,India,Food,186680
1/20/2015,Bengaluru,India,Food,191642
10/30/2013,Greater Mumbai,India,Food,238752
10/11/2013,Ahmedabad,India,Bills,131578
12/17/2014,Bengaluru,India,Grocery,227118
10/17/2014,Bengaluru,India,Entertainment,274164
1/13/2014,Delhi,India,Bills,67192
12/14/2014,Greater Mumbai,India,Fuel,294525
12/29/2013,Delhi,India,Food,13681
10/30/2013,Delhi,India,Entertainment,252226
4/21/2015,Greater Mumbai,India,Grocery,62418
3/11/2015,Delhi,India,Food,256766
10/24/2014,Greater Mumbai,India,Entertainment,85271
3/22/2014,Delhi,India,Food,284449
11/12/2014,Bengaluru,India,Food,42900
9/18/2014,Bengaluru,India,Fuel,235352
2/20/2014,Bengaluru,India,Grocery,168702
1/22/2014,Ahmedabad,India,Bills,286226
12/30/2013,Greater Mumbai,India,Grocery,292143
1/18/2015,Greater Mumbai,India,Bills,136134
6/24/2014,Ahmedabad,India,Food,105723
5/10/2014,Bengaluru,India,Entertainment,264985
9/11/2014,Greater Mumbai,India,Bills,261257
5/27/2014,Ahmedabad,India,Entertainment,39126
3/19/2015,Bengaluru,India,Bills,278199
6/26/2014,Greater Mumbai,India,Bills,242270
1/23/2014,Delhi,India,Food,1400
1/16/2015,Delhi,India,Entertainment,15162
